problem_id,final_question,true_answer,correct_option,selected_option,is_correct,generated_answer
09728185-88c5-4da1-8b87-cd7572a530d2_perm_24,Is there any evidence of honeycombing?,yes,G,G,True,yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_1,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_2,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_3,Is there a joint effusion?,No,A,B,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_4,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_5,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_6,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_7,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_8,Is there a joint effusion?,No,A,B,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_9,Is there a joint effusion?,No,B,B,True,No
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_10,Is there a joint effusion?,No,A,B,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_11,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_12,Is there a joint effusion?,No,B,B,True,No
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_13,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_14,Is there a joint effusion?,No,B,B,True,No
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_15,Is there a joint effusion?,No,B,B,True,No
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_16,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_17,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_18,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_19,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_20,Is there a joint effusion?,No,A,B,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_21,Is there a joint effusion?,No,A,B,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_22,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_23,Is there a joint effusion?,No,B,A,False,Yes
09b20627-5d25-4ceb-bbf3-b77a92fb4a18_perm_24,Is there a joint effusion?,No,B,B,True,No
0a405f20-1fcd-4fac-a0c1-3323efac8726_perm_1,Is honeycombing present?,Yes,A,A,True,Yes
0a405f20-1fcd-4fac-a0c1-3323efac8726_perm_2,Is honeycombing present?,Yes,B,B,True,Yes
16870356-d6c6-468a-8356-a8e2fc81dec5_perm_1,Is there any pathology visible in this chest X-Ray?,"Water bottle sign in the heart, suggestive of pericardial effusion.",A,A,True,"Water bottle sign in the heart, suggestive of pericardial effusion."
16870356-d6c6-468a-8356-a8e2fc81dec5_perm_2,Is there any pathology visible in this chest X-Ray?,"Water bottle sign in the heart, suggestive of pericardial effusion.",B,B,True,"Water bottle sign in the heart, suggestive of pericardial effusion."
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_1,What is the large round object?,Amoeba.,B,C,False,Ascarsis lumbricoides.
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_2,What is the large round object?,Amoeba.,C,B,False,Ascarsis lumbricoides.
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_3,What is the large round object?,Amoeba.,A,C,False,Ascarsis lumbricoides.
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_4,What is the large round object?,Amoeba.,A,B,False,Ascarsis lumbricoides.
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_5,What is the large round object?,Amoeba.,C,A,False,Ascarsis lumbricoides.
18218d7e-e2b3-45ee-a6bb-45054271c091_perm_6,What is the large round object?,Amoeba.,B,A,False,Ascarsis lumbricoides.
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_1,What is the diagnosis?,Levocardia,A,A,True,Levocardia
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_2,What is the diagnosis?,Levocardia,A,A,True,Levocardia
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_3,What is the diagnosis?,Levocardia,B,B,True,Levocardia
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_4,What is the diagnosis?,Levocardia,C,C,True,Levocardia
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_5,What is the diagnosis?,Levocardia,B,C,False,Mesocardia
188fb1a0-4521-4fb1-9c82-46527f1603a9_perm_6,What is the diagnosis?,Levocardia,C,C,True,Levocardia
1b7f4c9f-5655-4037-92e6-0e310f41184e_perm_1,What pathology can be seen?,Vitreous hemorrhage.,B,B,True,Vitreous hemorrhage.
1b7f4c9f-5655-4037-92e6-0e310f41184e_perm_2,What pathology can be seen?,Vitreous hemorrhage.,A,A,True,Vitreous hemorrhage.
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_1,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_2,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_3,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_4,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_5,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_6,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,A,A,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_7,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_8,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_9,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,A,False,Yes
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_10,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_11,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_12,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_13,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_14,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_15,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_16,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_17,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_18,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_19,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_20,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_21,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_22,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_23,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1c39462b-cfdd-455c-b8f1-e099f85bcc29_perm_24,Are there changes of acute myocardial infarction in this patient with known left bundle branch block?,No,B,B,True,No
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_1,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_2,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_3,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_4,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_5,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_6,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,A,A,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_7,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_8,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_9,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,A,False,Acne rosacea.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_10,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,A,False,Acne rosacea.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_11,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,A,False,Acne rosacea.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_12,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_13,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_14,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_15,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_16,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_17,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_18,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,A,False,Acne rosacea.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_19,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_20,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_21,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_22,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,A,False,Acne rosacea.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_23,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
1d690af1-020d-4163-8abe-e7fc2bbdba17_perm_24,Is the following pathology more consistent with acne vulgaris or acne rosacea? ,Acne vulgaris.,B,B,True,Acne vulgaris.
21eb81de-7686-4efc-9875-7dc4cbfc557d_perm_1,Are the red blood cells normal?,"No, there are schiostocytes. ",B,B,True,"No, there are schiostocytes. "
21eb81de-7686-4efc-9875-7dc4cbfc557d_perm_2,Are the red blood cells normal?,"No, there are schiostocytes. ",A,A,True,"No, there are schiostocytes. "
21ec6a11-a59f-41b2-bbca-51cc937d8828_perm_1,Where is the tumor located?,Caecum.,C,C,True,Caecum.
21ec6a11-a59f-41b2-bbca-51cc937d8828_perm_2,Where is the tumor located?,Caecum.,C,C,True,Caecum.
2285cb57-7853-41c4-bc0b-12cf269a23a3_perm_1,Is atoll sign present?,Yes,A,B,False,No
2285cb57-7853-41c4-bc0b-12cf269a23a3_perm_2,Is atoll sign present?,Yes,B,A,False,No
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_1,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,B,C,False,Dilated cardiomyopathy with pulmonary edema.
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_2,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,C,B,False,Dilated cardiomyopathy with pulmonary edema.
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_3,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,A,C,False,Dilated cardiomyopathy with pulmonary edema.
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_4,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,A,B,False,Dilated cardiomyopathy with pulmonary edema.
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_5,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,C,A,False,Dilated cardiomyopathy with pulmonary edema.
26e21c7a-df27-4d6c-a3d3-44a3b73964e5_perm_6,"What pathology, if any, is suspected based on this picture?",Dilated cardiomyopathy,B,A,False,Dilated cardiomyopathy with pulmonary edema.
2d3f8498-af1d-440e-92a2-4837dc277974_perm_1,What kind of image is this?,MRI of the brain with contrast,D,C,False,MRI of the brain without contrast
2d3f8498-af1d-440e-92a2-4837dc277974_perm_2,What kind of image is this?,MRI of the brain with contrast,D,B,False,MRI of the brain without contrast
2d3f8498-af1d-440e-92a2-4837dc277974_perm_3,What kind of image is this?,MRI of the brain with contrast,D,C,False,MRI of the brain without contrast
2d3f8498-af1d-440e-92a2-4837dc277974_perm_4,What kind of image is this?,MRI of the brain with contrast,D,B,False,MRI of the brain without contrast
2d3f8498-af1d-440e-92a2-4837dc277974_perm_5,What kind of image is this?,MRI of the brain with contrast,D,A,False,MRI of the brain without contrast
2d3f8498-af1d-440e-92a2-4837dc277974_perm_6,What kind of image is this?,MRI of the brain with contrast,D,A,False,MRI of the brain without contrast
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_1,What is this person's skin type?,Type VI,A,C,False,Type IV
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_2,What is this person's skin type?,Type VI,A,B,False,Type IV
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_3,What is this person's skin type?,Type VI,B,B,True,Type VI
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_4,What is this person's skin type?,Type VI,C,C,True,Type VI
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_5,What is this person's skin type?,Type VI,B,A,False,Type IV
3436b5aa-7219-42c1-96cc-54f1e4286003_perm_6,What is this person's skin type?,Type VI,C,A,False,Type IV
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_1,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_2,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_3,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_4,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_5,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_6,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_7,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_8,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_9,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_10,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_11,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_12,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_13,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_14,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_15,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_16,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_17,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_18,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_19,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_20,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_21,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_22,Which skin condition is shown?,petechiae,A,A,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_23,Which skin condition is shown?,petechiae,B,B,True,petechiae
34f7d1cc-7328-457b-b9d3-5e983c6496d1_perm_24,Which skin condition is shown?,petechiae,A,A,True,petechiae
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_1,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_2,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_3,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_4,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_5,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_6,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_7,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_8,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_9,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_10,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_11,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_12,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_13,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_14,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_15,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_16,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_17,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_18,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_19,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_20,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_21,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_22,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_23,Does this EEG show seizure activity?,no,B,B,True,no
39ba5cf9-06f1-42b2-b365-41dbd6a2223e_perm_24,Does this EEG show seizure activity?,no,B,B,True,no
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_1,Is there a visible pathology?,Pneumoperitoneum,A,A,True,Pneumoperitoneum
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_2,Is there a visible pathology?,Pneumoperitoneum,A,A,True,Pneumoperitoneum
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_3,Is there a visible pathology?,Pneumoperitoneum,A,A,True,Pneumoperitoneum
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_4,Is there a visible pathology?,Pneumoperitoneum,A,A,True,Pneumoperitoneum
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_5,Is there a visible pathology?,Pneumoperitoneum,A,A,True,Pneumoperitoneum
3b17a705-1ef8-484e-bddf-2593b7062b98_perm_6,Is there a visible pathology?,Pneumoperitoneum,A,B,False,Normal chest xray
